23:04:45.440 [main] INFO  TestBase.BaseClass - --- Running on local system ---
23:04:51.452 [main] INFO  TestBase.BaseClass - Started chrome browser
23:04:55.853 [main] INFO  TestBase.BaseClass - website is loaded
23:04:56.878 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
23:05:05.640 [main] INFO  TestBase.BaseClass - personal details filled successfully
23:05:15.274 [main] INFO  TestBase.BaseClass - filters applied on student plans
23:05:15.677 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
23:05:15.731 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
23:05:15.817 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
23:05:17.975 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
23:05:27.102 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
23:05:31.396 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:05:31.681 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:05:31.814 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:05:31.958 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:05:32.073 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:05:32.179 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:05:32.288 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:05:32.406 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:05:32.559 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:05:32.689 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:05:32.909 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:05:33.066 [main] INFO  TestBase.BaseClass - mouse hover on health insurance menu is done properly and printed the list of health insurances
23:05:33.256 [main] INFO  TestBase.BaseClass - Closed browser
23:25:58.915 [main] INFO  TestBase.BaseClass - --- Running on local system ---
23:26:04.565 [main] INFO  TestBase.BaseClass - Started chrome browser
23:26:08.629 [main] INFO  TestBase.BaseClass - website is loaded
23:26:09.366 [main] INFO  TestBase.BaseClass - travel insurance menu is clicked successfully
23:26:17.898 [main] INFO  TestBase.BaseClass - personal details filled successfully
23:26:26.174 [main] INFO  TestBase.BaseClass - filters applied on student plans
23:26:26.594 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
23:26:26.666 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
23:26:26.735 [main] INFO  TestBase.BaseClass - top 3 travel plans displayed on console
23:26:28.739 [main] INFO  TestBase.BaseClass - clicked on Car insurance menu and fetched car details
23:26:37.200 [main] INFO  TestBase.BaseClass - filled personal details with wrong email and printed the wrong email error msg
